Nombre de tabla;Nombre del campo;Tipo de dato;Longitud;Restricciones;Descripción;;;;
sesiones_chatbot;telefono;VARCHAR;20;UNIQUE, NN;Número de WhatsApp del cliente (sin el prefijo whatsapp:);;;;
sesiones_chatbot;id_cliente;INT;10;FK -> clientes(id_cliente);FK: cliente ya identificado en esta conversación;;;;
sesiones_chatbot;paso;VARCHAR;30;NN, DEFAULT inicio;Paso actual del flujo conversacional;;;;
sesiones_chatbot;direccion_temp;VARCHAR;150;;Dirección de entrega capturada en la conversación;;;;
sesiones_chatbot;barrio_temp;VARCHAR;50;;Barrio capturado en la conversación;;;;
sesiones_chatbot;fecha_actualizacion;DATETIME;;NN, DEFAULT CURRENT_TIMESTAMP;Última interacción;;;;
usuarios;id_usuario;INT;10;PK, NN, AI;Identificador único del usuario;;;;
usuarios;documento;VARCHAR;15;UNIQUE, NN;Documento de identidad;;;;
usuarios;nombre;VARCHAR;60;NN;Nombres del usuario;;;;
usuarios;apellido;VARCHAR;60;NN;Apellidos del usuario;;;;
usuarios;email;VARCHAR;100;UNIQUE, NN;Correo electrónico (usado para iniciar sesión);;;;
usuarios;telefono;VARCHAR;20;;Teléfono de contacto;;;;
usuarios;id_rol;TINYINT;3;FK -> roles(id_rol), NN;FK: rol asignado al usuario (tabla roles);;;;
usuarios;contrasena_hash;VARCHAR;255;NN;Contraseña encriptada (nunca en texto plano);;;;
usuarios;activo;TINYINT;3;NN, DEFAULT 1;1=activo, 0=bloqueado;;;;
usuarios;fecha_registro;DATETIME;;NN, DEFAULT CURRENT_TIMESTAMP;Fecha de creación de la cuenta;;;;
ventas;id_venta;INT;10;PK, NN, AI;Identificador único de la venta;;;;
ventas;id_usuario;INT;10;FK -> usuarios(id_usuario), NN;FK: cajero que registró la venta;;;;
ventas;id_arqueo;INT;10;FK -> arqueo_caja(id_arqueo);FK: turno de caja en el que se registro la venta (opcional);;;;
ventas;id_cliente;INT;10;FK -> clientes(id_cliente);FK: cliente (NULL = venta ocasional de mostrador);;;;
ventas;id_metodo_pago;INT;10;FK -> metodos_pago(id_metodo_pago), NN;FK: método con el que se pagó;;;;
ventas;fecha;DATETIME;;NN, DEFAULT CURRENT_TIMESTAMP;Fecha y hora de la venta;;;;
ventas;total;DECIMAL;12,2;NN, DEFAULT 0.00;Valor total de la venta (COP);;;;
ventas;estado;ENUM('pagada','pendiente','anulada');9;NN, DEFAULT pagada;Estado actual de la venta;;;;
